Symbol;Name;Price (Intraday);Avg Vol (3 month);Market Cap
TTWO;Take-Two Interactive Software, Inc.;123.95;1.931M;14.109B
DHI;D.R. Horton, Inc.;37.47;4.323M;14.104B
WDC;Western Digital Corporation;48.556;4.611M;14.091B
APA;Apache Corporation;37.08;3.266M;14.073B
SPLK;Splunk Inc.;95.9;2.449M;14.061B
MMP;Magellan Midstream Partners, L.P.;61.48;766961;14.029B
TIF;Tiffany & Co.;114.4;1.841M;14.004B
VNO;Vornado Realty Trust;68.75;890121;13.948B
CMS;CMS Energy Corporation;48.91;2.324M;13.857B
AJG;Arthur J. Gallagher & Co.;75.83;780116;13.847B
NOV;National Oilwell Varco, Inc.;36.12;3.287M;13.847B
HST;Host Hotels & Resorts, Inc.;18.5;7.076M;13.843B
VMC;Vulcan Materials Company;104.78;1.453M;13.836B
CNP;CenterPoint Energy, Inc.;27.59;5.273M;13.828B
LNC;Lincoln National Corporation;64.21;1.519M;13.716B
PFG;Principal Financial Group, Inc.;48.41;1.551M;13.702B
CE;Celanese Corporation;102.26;1.086M;13.678B
DRI;Darden Restaurants, Inc.;109.81;1.237M;13.629B
CNPLL;CenterPoint Energy, Inc.;50.5;1.101M;13.609B
CMA;Comerica Incorporated;83.62;1.696M;13.521B
HCP;HCP, Inc.;28.37;2.767M;13.519B
TXT;Textron Inc.;55.65;1.824M;13.521B
ETFC;E*TRADE Financial Corporation;52.285;3.087M;13.422B
MOS;The Mosaic Company;34.73;4.036M;13.387B
TAP;Molson Coors Brewing Company;61.72;1.916M;13.331B
KSS;Kohl's Corporation;79.89;3.244M;13.319B
STM;STMicroelectronics N.V.;15.47;4.3M;13.29B
VIAB;Viacom, Inc.;32.49;3.862M;13.299B
SNPS;Synopsys, Inc.;89.09;1.226M;13.238B
VEEV;Veeva Systems Inc.;91.57;1.39M;13.233B
CDW;CDW Corporation;87.35;877966;13.101B
CMG;Chipotle Mexican Grill, Inc.;470.93;760606;13.086B
NLY;Annaly Capital Management, Inc.;9.9;12.782M;13.006B
ROL;Rollins, Inc.;59.54;1.187M;12.992B
MSCI;MSCI Inc.;147.4;670267;12.976B
ATUS;Altice USA, Inc.;17.605;4.972M;12.976B
ENIA;Enel Américas S.A.;8.185;1.24M;8.985B
HSIC;Henry Schein, Inc.;83.59;1.384M;12.799B
WCG;WellCare Health Plans, Inc.;257.165;892287;12.856B
STX;Seagate Technology plc;44.78;4.215M;12.816B
KKR;KKR & Co. Inc.;24.05;5.503M;12.725B
FTNT;Fortinet, Inc.;75.11;2.485M;12.704B
NBL;Noble Energy, Inc.;26.5025;4.989M;12.669B
CDNS;Cadence Design Systems, Inc.;44.63;1.934M;12.622B
XYL;Xylem Inc.;69.79;1.036M;12.542B
GDDY;GoDaddy Inc.;72.45;1.826M;12.488B
BR;Broadridge Financial Solutions, Inc.;107.15;839209;12.464B
AAP;Advance Auto Parts, Inc.;167.76;1.106M;12.428B
TI-A;Telecom Italia S.p.A.;5.38;70152;12.402B
EXPD;Expeditors International of Washington, Inc.;70.705;1.186M;12.326B
SQM;Sociedad Química y Minera de Chile S.A.;46.78;927052;12.312B
CHRW;C.H. Robinson Worldwide, Inc.;88.6993;1.005M;12.289B
TPR;Tapestry, Inc.;42.35;3.436M;12.266B
VST;Vistra Energy Corp.;24.29;4.785M;12.253B
AEG;Aegon N.V.;6.177;1.344M;12.231B
GRMN;Garmin Ltd.;64.69;1.18M;12.214B
FNV;Franco-Nevada Corporation;65.66;737026;12.205B
ELAN;Elanco Animal Health Incorporated;33.31;3.156M;12.179B
KMX;CarMax, Inc.;69.78;1.504M;12.185B
JBHT;J.B. Hunt Transport Services, Inc.;110.04;791644;12.014B
TECK;Teck Resources Limited;20.84;2.806M;11.987B
FTI;TechnipFMC plc;26.4;3.277M;11.934B
WRK;WestRock Company;46.99;2.12M;11.849B
WYNN;Wynn Resorts, Limited;108.98;2.722M;11.84B
EQH;AXA Equitable Holdings, Inc.;21.095;1.463M;11.834B
MLM;Martin Marietta Materials, Inc.;187.72;877073;11.829B
CPRT;Copart, Inc.;50.51;2.258M;11.815B
SSNC;SS&C Technologies Holdings, Inc.;49.44;1.609M;11.812B
AKAM;Akamai Technologies, Inc.;69.24;1.851M;11.737B
EXR;Extra Space Storage Inc.;88.77;902223;11.731B
CF;CF Industries Holdings, Inc.;50.73;2.943M;11.708B
BURL;Burlington Stores, Inc.;172.99;965280;11.686B
UHS;Universal Health Services, Inc.;125.54;660175;11.671B
LW;Lamb Weston Holdings, Inc.;79.57;1.083M;11.653B
ALB;Albemarle Corporation;107.12;1.513M;11.617B
TRGP;Targa Resources Corp.;51.5;1.812M;11.616B
LYV;Live Nation Entertainment, Inc.;55.495;1.319M;11.629B
UDR;UDR, Inc.;39.93;1.479M;11.627B
MAA;Mid-America Apartment Communities, Inc.;98.13;556663;11.575B
DXCM;DexCom, Inc.;130.92;1.099M;11.568B
DVA;DaVita Inc.;69.18;1.515M;11.546B
NRG;NRG Energy, Inc.;38.08;3.667M;11.522B
EMN;Eastman Chemical Company;82.13;1.168M;11.502B
CPB;Campbell Soup Company;38.29;3.599M;11.512B
TSCO;Tractor Supply Company;93.5;1.528M;11.389B
JWN;Nordstrom, Inc.;67.29;2.789M;11.343B
RJF;Raymond James Financial, Inc.;80.42;874992;11.351B
ACGL;Arch Capital Group Ltd.;27.78;999715;11.291B
FMC;FMC Corporation;83.55;1.089M;11.248B
M;Macy's, Inc.;36.65;7.893M;11.249B
MRVL;Marvell Technology Group Ltd.;17.06;11.341M;11.232B
HFC;HollyFrontier Corporation;64.55;2.249M;11.157B
JEC;Jacobs Engineering Group Inc.;78.53;1.154M;11.144B
FANG;Diamondback Energy, Inc.;112.85;1.862M;11.135B
ODFL;Old Dominion Freight Line, Inc.;135.79;622855;11.134B
INVH;Invitation Homes Inc.;20.99;2.234M;11.116B
KEYS;Keysight Technologies, Inc.;59.14;1.977M;11.084B
VAR;Varian Medical Systems, Inc.;120.78;709527;11.057B
COG;Cabot Oil & Gas Corporation;25.62;6.609M;11.047B
CVE;Cenovus Energy Inc.;8.96;3.785M;10.984B
HOLX;Hologic, Inc.;40.12;1.99M;10.918B
XPO;XPO Logistics, Inc.;85.75;1.334M;10.882B
NHYDY;Norsk Hydro ASA;5.34;63761;10.872B
ALLY;Ally Financial Inc.;25.74;3.168M;10.633B
REG;Regency Centers Corporation;63.3;1.19M;10.77B
QRTEA;Qurate Retail, Inc.;23.3;2.799M;10.723B
GPS;The Gap, Inc.;27.74;4.953M;10.67B
URI;United Rentals, Inc.;128.13;1.663M;10.392B
KSU;Kansas City Southern;102.03;1.161M;10.376B
JNPR;Juniper Networks, Inc.;30.09;4.207M;10.375B
NCLH;Norwegian Cruise Line Holdings Ltd.;46.62;2.084M;10.324B
AES;The AES Corporation;15.6;6.596M;10.322B
LNT;Alliant Energy Corporation;43.17;1.419M;10.274B
RL;Ralph Lauren Corporation;126;1.025M;10.222B
WLK;Westlake Chemical Corporation;78.73;857143;10.208B
SNPTF;Sunny Optical Technology (Group) Company Limited;9.415;6415;10.179B
DRE;Duke Realty Corporation;28.05;2.269M;10.143B
ARNC;Arconic Inc.;20.975;3.322M;10.136B
PRGO;Perrigo Company plc;73.53;1.535M;10.061B
TLRY;Tilray, Inc.;106.832;8.072M;9.951B
PTC;PTC Inc.;83.92;1.226M;9.888B
YNDX;Yandex N.V.;30.14;4.706M;9.777B
UAA;Under Armour, Inc.;23.25;5.057M;9.768B
MAS;Masco Corporation;31.84;3.77M;9.727B
UA;Under Armour, Inc.;20.92;2.676M;9.725B
DBX;Dropbox, Inc.;24.16;5.082M;9.722B
NBIX;Neurocrine Biosciences, Inc.;107.08;718069;9.687B
STLD;Steel Dynamics, Inc.;41.05;2.456M;9.638B
ZION;Zions Bancorporation, National Association;49.26;2.233M;9.466B
EDU;New Oriental Education & Technology Group Inc.;60.47;2.264M;9.596B
NLSN;Nielsen Holdings plc;26.98;5.606M;9.577B
MHK;Mohawk Industries, Inc.;128.27;1.263M;9.517B
NWL;Newell Brands Inc.;20.04;10.191M;9.468B
NI;NiSource Inc.;25.97;3.747M;9.435B
BSMX;Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander;7.01;1.68M;9.445B
BHC;Bausch Health Companies Inc.;26.95;5.016M;9.425B
LB;L Brands, Inc.;34.13;5.816M;9.388B
PNW;Pinnacle West Capital Corporation;83.49;952495;9.349B
TV;Grupo Televisa, S.A.B.;15.91;1.346M;9.245B
SNAP;Snap Inc.;7.12;26.793M;9.22B
ATH;Athene Holding Ltd.;46.11;1.044M;9.211B
ZBRA;Zebra Technologies Corporation;171.12;425449;9.188B
FNF;Fidelity National Financial, Inc.;33.29;1.164M;9.162B
SRPT;Sarepta Therapeutics, Inc.;136.59;1.092M;9.127B
SGEN;Seattle Genetics, Inc.;56.86;916638;9.106B
IRM;Iron Mountain Incorporated;31.81;1.78M;9.105B
TRMB;Trimble Inc.;36.34;1.181M;9.083B
PAGS;PagSeguro Digital Ltd.;27.8;2.994M;9.082B
PKG;Packaging Corporation of America;96.77;1.038M;9.072B
EXAS;Exact Sciences Corporation;73.69;2.139M;9.057B
IPG;The Interpublic Group of Companies, Inc.;23.4;4.514M;8.994B
BG;Bunge Limited;63.25;1.533M;8.923B
LEA;Lear Corporation;139.01;1.015M;8.921B
EQT;EQT Corporation;34.935;3.45M;8.888B
IVZ;Invesco Ltd.;21.58;5.2M;8.877B
LKQ;LKQ Corporation;27.79;2.763M;8.843B
QRVO;Qorvo, Inc.;70.53;1.24M;8.81B
MLCO;Melco Resorts & Entertainment Limited;17.97;4.165M;8.802B
ALNY;Alnylam Pharmaceuticals, Inc.;87.04;949216;8.761B
ARMK;Aramark;35.53;1.971M;8.757B
DATA;Tableau Software, Inc.;104.96;812930;8.706B
HTHT;Huazhu Group Limited;29.58;1.828M;8.621B
W;Wayfair Inc.;94.7;1.585M;8.556B
KORS;Michael Kors Holdings Limited;56.9;2.388M;8.488B
COTY;Coty Inc.;11.28;8.142M;8.473B
AGNC;AGNC Investment Corp.;17.7128;4.878M;8.464B
GRUB;GrubHub Inc.;93.515;1.668M;8.46B
TTM;Tata Motors Limited;13.09;1.935M;8.425B
CX;CEMEX, S.A.B. de C.V.;5.62;7.099M;8.427B
ACBFF;Aurora Cannabis Inc.;8.69;9.186M;8.379B
AEM;Agnico Eagle Mines Limited;36.06;1.774M;8.362B
BWA;BorgWarner Inc.;39.85;2.389M;8.3B
ECA;Encana Corporation;8.68;12.356M;8.257B
Z;Zillow Group, Inc.;40.82;2.407M;8.25B
ZG;Zillow Group, Inc.;40.54;744444;8.21B
WU;The Western Union Company;18.5;5.03M;8.192B
UNM;Unum Group;37.41;2.334M;8.183B
GG;Goldcorp Inc.;9.405;10.028M;8.176B
AOS;A. O. Smith Corporation;47.28;1.937M;8.066B
VICI;VICI Properties Inc.;21.76;2.852M;8.058B
AVY;Avery Dennison Corporation;92.56;617730;8.026B
HLF;Herbalife Nutrition Ltd.;54.81;1.118M;8.007B
CGNX;Cognex Corporation;46.27;1.301M;7.967B
ALK;Alaska Air Group, Inc.;64.49;1.506M;7.952B
PF;Pinnacle Foods Inc.;0;1.298M;0
PE;Parsley Energy, Inc.;24.98;4.1M;7.913B
XEC;Cimarex Energy Co.;82.97;1.439M;7.912B
SCI;Service Corporation International;43.9;1.287M;7.944B
TSU;TIM Participações S.A.;16.59;1.137M;7.917B
ST;Sensata Technologies Holding PLC;47.95;1.279M;7.871B
MOH;Molina Healthcare, Inc.;126.06;1.018M;7.785B
XRAY;DENTSPLY SIRONA Inc.;35.34;3.257M;7.858B
NTNX;Nutanix, Inc.;45.5768;3.298M;7.88B
NWSA;News Corporation;13.243;4.181M;7.786B
LAMR;Lamar Advertising Company (REIT);78.427;413112;7.751B
TRIP;TripAdvisor, Inc.;56.35;1.818M;7.751B
FWONK;Formula One Group;33.6522;1.148M;7.733B
MBT;Public Joint-Stock Company Mobile TeleSystems;8.31;2.92M;7.683B
H;Hyatt Hotels Corporation;69.22;723269;7.605B
GOLD;Randgold Resources Limited;81.97;1.004M;7.579B
ON;ON Semiconductor Corporation;17.91;6.569M;7.537B
BLUE;bluebird bio, Inc.;136.98;691776;7.492B
CQH;Cheniere Energy Partners LP Holdings, LLC;32.2;65701;7.461B
VER;VEREIT, Inc.;7.5;9.591M;7.451B
ARCC;Ares Capital Corporation;17.43;1.714M;7.433B
CDK;CDK Global, Inc.;57.44;973666;7.406B
ZAYO;Zayo Group Holdings, Inc.;30;3.01M;7.394B
AIV;Apartment Investment and Management Company;44.58;1.003M;7.39B
MOMO;Momo Inc.;36.04;4.537M;7.37B
OGE;OGE Energy Corp.;36.86;1.419M;7.362B
WPM;Wheaton Precious Metals Corp.;16.642;2.797M;7.354B
PNR;Pentair plc;42.34;1.577M;7.35B
IONS;Ionis Pharmaceuticals, Inc.;53.5;1.25M;7.344B
ACB;Aurora Cannabis Inc.;7.62;21.243M;7.317B
TYL;Tyler Technologies, Inc.;188.6;200998;7.322B
VLEEY;Valeo SA;15.34;154873;7.259B
GLPI;Gaming and Leisure Properties, Inc.;33.57;1.192M;7.187B
HDS;HD Supply Holdings, Inc.;38.97;1.769M;7.162B
OHI;Omega Healthcare Investors, Inc.;34.21;1.632M;7.153B
TWLO;Twilio Inc.;72.13;3.166M;7.116B
JEF;Jefferies Financial Group Inc.;21.88;2.091M;7.069B
AMH;American Homes 4 Rent;19.95;2.178M;7.02B
BAH;Booz Allen Hamilton Holding Corporation;49.27;973821;7.013B
AMRN;Amarin Corporation plc;23.06;14.637M;7.012B
PHM;PulteGroup, Inc.;24.94;5.681M;7.005B
VOYA;Voya Financial, Inc.;44.9;1.483M;6.983B
GGG;Graco Inc.;41.9;818469;6.974B
RYKKY;Ryohin Keikaku Co., Ltd.;51.105;12083;6.968B
XRX;Xerox Corporation;28.95;2.982M;6.898B
USFD;US Foods Holding Corp.;31.81;3.133M;6.903B
SC;Santander Consumer USA Holdings Inc.;19.02;1.39M;6.877B
MFGP;Micro Focus International plc;16.27;847658;6.859B
WPC;W. P. Carey Inc.;63.96;732201;6.857B
HP;Helmerich & Payne, Inc.;62.95;1.155M;6.858B
FCE-A;Forest City Realty Trust, Inc.;25.155;2.805M;6.849B
SABR;Sabre Corporation;24.85;2.175M;6.842B
GGB;Gerdau S.A.;4.55;12.269M;6.806B
FLR;Fluor Corporation;48.16;1.511M;6.775B
TER;Teradyne, Inc.;36.2;2.676M;6.749B
AA;Alcoa Corporation;36.1;4.113M;6.732B
KIM;Kimco Realty Corporation;15.93;3.622M;6.728B
ORI;Old Republic International Corporation;22.19;1.622M;6.716B
FLIR;FLIR Systems, Inc.;48.45;819740;6.703B
DOCU;DocuSign, Inc.;42.47;1.893M;6.66B
CVNA;Carvana Co.;45.31;1.483M;6.645B
WPX;WPX Energy, Inc.;15.71;5.887M;6.603B
LPT;Liberty Property Trust;43.57;961038;6.594B
VNOM;Viper Energy Partners LP;33.45;700726;6.573B
FBHS;Fortune Brands Home & Security, Inc.;45.93;1.91M;6.541B
HOG;Harley-Davidson, Inc.;39.49;2.227M;6.513B
GOOS;Canada Goose Holdings Inc.;59.23;1.066M;6.484B
GIL;Gildan Activewear Inc.;31.12;515227;6.414B
TGE;Tallgrass Energy, LP;22.46;1.026M;6.293B
NRZ;New Residential Investment Corp.;17.225;3.262M;6.293B
PAGP;Plains GP Holdings, L.P.;22.47;1.712M;6.291B
STOR;STORE Capital Corporation;29.4;1.555M;6.257B
NKTR;Nektar Therapeutics;36.26;2.189M;6.254B
FLS;Flowserve Corporation;47.78;1.207M;6.252B
CZR;Caesars Entertainment Corporation;9.315;17.787M;6.219B
UGP;Ultrapar Participações S.A.;11.44;892664;6.207B
OKTA;Okta, Inc.;56.88;1.917M;6.21B
WES;Western Gas Partners, LP;39.62;717260;6.149B
CCK;Crown Holdings, Inc.;45.38;2.271M;6.135B
IDTI;Integrated Device Technology, Inc.;46.99;3.187M;6.054B
AXTA;Axalta Coating Systems Ltd.;25.33;2.541M;6.047B
KNX;Knight-Swift Transportation Holdings Inc.;33.9;2.411M;6.038B
MASI;Masimo Corporation;113.58;469349;6.019B
ALKS;Alkermes plc;38.72;683735;6.016B
RNG;RingCentral, Inc.;75.82;848376;6.037B
ALSN;Allison Transmission Holdings, Inc.;45.99;1.231M;5.962B
DNKN;Dunkin' Brands Group, Inc.;72.3;751180;5.961B
USG;USG Corporation;42.595;1.069M;5.953B
PK;Park Hotels & Resorts Inc.;29.54;1.697M;5.944B
MPW;Medical Properties Trust, Inc.;16.26;2.22M;5.935B
BERY;Berry Global Group, Inc.;45.01;1.171M;5.932B
ROKU;Roku, Inc.;55.86;8.602M;5.926B
GDI;Gardner Denver Holdings, Inc.;27.03;1.575M;5.913B
ENIC;Enel Chile S.A.;4.49;519420;4.319B
HBI;Hanesbrands Inc.;16.19;5.55M;5.84B
SAGE;Sage Therapeutics, Inc.;125.17;368426;5.841B
GNTX;Gentex Corporation;21.59;2.439M;5.807B
WTR;Aqua America, Inc.;32.57;574918;5.795B
FL;Foot Locker, Inc.;50.39;3.268M;5.79B
STWD;Starwood Property Trust, Inc.;21.6568;2.066M;5.784B
CC;The Chemours Company;33.77;1.785M;5.778B
PBCT;People's United Financial, Inc.;15.82;3.445M;5.759B
AMRX;Amneal Pharmaceuticals, Inc.;19.3;1.306M;5.76B
SERV;ServiceMaster Global Holdings, Inc.;41.78;1.803M;5.664B
DIISF;Direct Line Insurance Group plc;4.3372;5223;5.671B
WWE;World Wrestling Entertainment, Inc.;72.33;1.058M;5.644B
HAE;Haemonetics Corporation;109.17;451521;5.643B
ZEN;Zendesk, Inc.;53.01;1.495M;5.617B
HRB;H&R Block, Inc.;27.15;2.652M;5.58B
ADT;ADT Inc.;7.38;2.662M;5.583B
SON;Sonoco Products Company;55.62;452306;5.551B
JBGS;JBG Smith Properties;39.51;683690;5.536B
EVHC;Envision Healthcare Corporation;0;1.642M;0
HUN;Huntsman Corporation;23.11;2.861M;5.508B
CIT;CIT Group Inc.;47.42;885590;5.063B
LPLA;LPL Financial Holdings Inc.;63.38;650735;5.495B
HTA;Healthcare Trust of America, Inc.;25.925;1.512M;5.466B
OC;Owens Corning;49.82;1.673M;5.446B
JBLU;JetBlue Airways Corporation;17.84;4.67M;5.437B
TSG;The Stars Group Inc.;19.92;1.682M;5.412B
CUBE;CubeSmart;28.69;1.365M;5.405B
PINC;Premier, Inc.;40.46;610446;5.395B
FHN;First Horizon National Corporation;16.525;3.233M;5.353B
MUR;Murphy Oil Corporation;30.955;1.701M;5.357B
EQM;EQM Midstream Partners, LP;44.42;674110;5.351B
SEE;Sealed Air Corporation;33.99;2.274M;5.334B
AR;Antero Resources Corporation;16.72;3.685M;5.302B
CTLT;Catalent, Inc.;36.37;925518;5.281B
BHF;Brighthouse Financial, Inc.;44.1;1.188M;5.282B
HPHTF;Hamamatsu Photonics K.K.;33.08;7001;5.273B
TTD;The Trade Desk, Inc.;122.35;1.27M;5.251B
ACM;AECOM;32.62;837558;5.245B
ENLK;EnLink Midstream Partners, LP;14.73;1.229M;5.225B
PWR;Quanta Services, Inc.;34.98;1.374M;5.222B
GT;The Goodyear Tire & Rubber Company;22.37;3.556M;5.212B
PACW;PacWest Bancorp;42.045;1.115M;5.148B
X;United States Steel Corporation;28.98;7.535M;5.137B
EXEL;Exelixis, Inc.;17.04;3.661M;5.095B
FAF;First American Financial Corporation;45.47;725306;5.083B
CDEV;Centennial Resource Development, Inc.;19.28;2.306M;5.086B
WSM;Williams-Sonoma, Inc.;63.01;1.942M;5.076B
BPL;Buckeye Partners, L.P.;33.04;970053;5.068B
PBF;PBF Energy Inc.;41.81;1.94M;5.063B
SBS;Companhia de Saneamento Básico do Estado de São Paulo - SABESP;7.62;2.133M;5.059B
BB;BlackBerry Limited;9.43;4.338M;5.054B
PEN;Penumbra, Inc.;146.99;346078;5.053B
RIG;Transocean Ltd.;10.92;14.793M;5.044B
SYNH;Syneos Health, Inc.;48.87;618300;5.029B
VEON;VEON Ltd.;2.83;2.416M;4.95B
MAT;Mattel, Inc.;14.33;3.837M;4.946B
CCJ;Cameco Corporation;12.49;2.229M;4.938B
CNK;Cinemark Holdings, Inc.;42.24;1.265M;4.935B
PSTG;Pure Storage, Inc.;20.85;3.112M;4.924B
SIX;Six Flags Entertainment Corporation;58.2377;1.27M;4.916B
ESRT;Empire State Realty Trust, Inc.;16.21;1.081M;4.917B
PVTL;Pivotal Software, Inc.;19.1;1.936M;4.916B
OSK;Oshkosh Corporation;67.14;737926;4.908B
NUAN;Nuance Communications, Inc.;17.08;2.13M;4.899B
TOL;Toll Brothers, Inc.;33.22;3.299M;4.895B
ETSY;Etsy, Inc.;40.85;2.761M;4.892B
CY;Cypress Semiconductor Corporation;13.48;6.084M;4.879B
LAZ;Lazard Ltd;41.31;812475;4.878B
ITT;ITT Inc.;55.54;693689;4.863B
NEWR;New Relic, Inc.;86.03;862835;4.862B
PPC;Pilgrim's Pride Corporation;19.4;1.014M;4.83B
BRX;Brixmor Property Group Inc.;16.04;2.441M;4.809B
WH;Wyndham Hotels & Resorts, Inc.;48.315;891298;4.789B
CIEN;Ciena Corporation;33.4;2.934M;4.763B
NYCB;New York Community Bancorp, Inc.;9.67;5.037M;4.742B
COMM;CommScope Holding Company, Inc.;24.64;1.857M;4.736B
BRFS;BRF S.A.;5.92;2.912M;4.715B
HPP;Hudson Pacific Properties, Inc.;30.26;838986;4.717B
PLNT;Planet Fitness, Inc.;47.92;1.147M;4.716B
SKX;Skechers U.S.A., Inc.;29.8;2.628M;4.71B
JHG;Janus Henderson Group plc;24.22;1.029M;4.701B
SINA;SINA Corporation;65.69;855983;4.695B
EEP;Enbridge Energy Partners, L.P.;10.81;2.061M;4.68B
TKC;Turkcell Iletisim Hizmetleri A.S.;5.49;2.245M;4.669B
VIRT;Virtu Financial, Inc.;24.5;1.019M;4.666B
BOALF;Boral Limited;4.9;29634;4.66B
CARG;CarGurus, Inc.;42.43;1.056M;4.645B
OLED;Universal Display Corporation;97.7;1.15M;4.602B
GPT;Gramercy Property Trust;0;1.411M;0
AGCO;AGCO Corporation;57.55;712107;4.553B
FSLR;First Solar, Inc.;43.25;1.415M;4.533B
FLEX;Flex Ltd.;8.62;6.5M;4.539B
NFG;National Fuel Gas Company;52.78;513600;4.537B
IMMU;Immunomedics, Inc.;24.19;1.651M;4.519B
MTG;MGIC Investment Corporation;12.46;2.758M;4.512B
TDOC;Teladoc Health, Inc.;64.03;1.658M;4.489B
UMC;United Microelectronics Corporation;1.78;1.06M;4.474B
SNV;Synovus Financial Corp.;38.25;1.609M;4.464B
ARRS;ARRIS International plc;24.69;1.207M;4.452B
SLM;SLM Corporation;10.16;2.49M;4.426B
URBN;Urban Outfitters, Inc.;40.08;2.569M;4.374B
NFX;Newfield Exploration Company;22.11;3.666M;4.371B
NYT;The New York Times Company;26.32;2.232M;4.341B
CIG;Companhia Energética de Minas Gerais;3.05;6.162M;4.335B
UMPQ;Umpqua Holdings Corporation;19.66;1.493M;4.33B
CRI;Carter's, Inc.;94.43;997526;4.33B
INXN;InterXion Holding N.V.;59.62;408603;4.273B
SRCL;Stericycle, Inc.;46.79;902723;4.239B
TDC;Teradata Corporation;35.58;1.013M;4.238B
ERJ;Embraer S.A.;23.3;1.019M;4.235B
RRC;Range Resources Corporation;17.27;6.321M;4.23B
WYND;Wyndham Destinations, Inc.;43.22;1.317M;4.212B
BGCP;BGC Partners, Inc.;11.08;1.911M;4.198B
KL;Kirkland Lake Gold Ltd.;20.04;1.57M;4.188B
SE;Sea Limited;12.47;1.239M;4.178B
BILI;Bilibili Inc.;14.98;4.735M;4.172B
JBL;Jabil Inc.;25.76;1.77M;4.17B
SHLX;Shell Midstream Partners, L.P.;18.61;710170;4.165B
ZS;Zscaler, Inc.;40.94;1.497M;4.904B
HUYA;HUYA Inc.;20.33;2.123M;4.143B
BXMT;Blackstone Mortgage Trust, Inc.;34.6;1.001M;4.141B
STL;Sterling Bancorp;18.38;1.975M;4.125B
WEN;The Wendy's Company;17.21;3.644M;4.079B
CNDT;Conduent Incorporated;19.3;1.583M;4.076B
CREE;Cree, Inc.;40.25;1.734M;4.06B
OMF;OneMain Holdings, Inc.;29.77;482898;4.042B
MDB;MongoDB, Inc.;77.28;944530;4.035B
FLO;Flowers Foods, Inc.;19.13;1.279M;4.034B
CVI;CVR Energy, Inc.;39.94;782930;4.015B
LGF-B;Lions Gate Entertainment Corp.;18.08;474606;3.995B
FNB;F.N.B. Corporation;12.27;2.497M;3.979B
AEO;American Eagle Outfitters, Inc.;22.43;4.371M;3.978B
INGN;Inogen, Inc.;185.86;348512;3.968B
THO;Thor Industries, Inc.;74.79;1.089M;3.949B
ASB;Associated Banc-Corp;23.44;1.315M;3.921B
ENTG;Entegris, Inc.;27.47;1.161M;3.882B
TDS;Telephone and Data Systems, Inc.;34.37;754700;3.881B
AU;AngloGold Ashanti Limited;9.9;3.267M;3.869B
PGRE;Paramount Group, Inc.;14.46;1.647M;3.844B
ENDP;Endo International plc;17.04;4.615M;3.816B
DKS;Dick's Sporting Goods, Inc.;37.4;2.993M;3.78B
ACXM;Acxiom Holdings, Inc.;48.48;741197;3.765B
SNH;Senior Housing Properties Trust;15.84;1.341M;3.764B
I;Intelsat S.A.;27.45;2.722M;3.758B
MTZ;MasTec, Inc.;48.46;1.339M;3.741B
VIPS;Vipshop Holdings Limited;5.64;8.631M;3.734B
SBRA;Sabra Health Care REIT, Inc.;20.92;1.269M;3.73B
TRQ;Turquoise Hill Resources Ltd.;1.855;5.705M;3.715B
FGEN;FibroGen, Inc.;44.14;441432;3.722B
FEYE;FireEye, Inc.;19.16;5.07M;3.709B
YELP;Yelp Inc.;44.19;2.287M;3.698B
EXP;Eagle Materials Inc.;78.47;649210;3.679B
TWO;Two Harbors Investment Corp.;14.77;2.042M;3.664B
TCF;TCF Financial Corporation;21.897;1.209M;3.672B
EVR;Evercore Inc.;84.2109;440063;3.651B
APLE;Apple Hospitality REIT, Inc.;15.82;1.251M;3.644B
NXST;Nexstar Media Group, Inc.;79.99;462272;3.644B
GPK;Graphic Packaging Holding Company;11.73;4.184M;3.64B
PTEN;Patterson-UTI Energy, Inc.;16.72;3.087M;3.632B
JCOM;j2 Global, Inc.;73.82;374612;3.635B
LHO;LaSalle Hotel Properties;32.83;1.632M;3.629B
UNIT;Uniti Group Inc.;19.81;1.748M;3.628B
ARRY;Array BioPharma Inc.;16.96;2.55M;3.614B
OLN;Olin Corporation;21.55;2.367M;3.595B
BSM;Black Stone Minerals, L.P.;17.75;140323;3.591B
ALLO;Allogene Therapeutics, Inc.;30.49;1.31M;3.596B
CUZ;Cousins Properties Incorporated;8.51;3.663M;3.577B
VVV;Valvoline Inc.;18.7;1.337M;3.567B
AMED;Amedisys, Inc.;110.97;425743;3.539B
OZK;Bank OZK;27.43;1.682M;3.528B
ATI;Allegheny Technologies Incorporated;28;1.52M;3.519B
LITE;Lumentum Holdings Inc.;55.19;1.617M;3.499B
IGT;International Game Technology PLC;17.17;3.56M;3.506B
BVN;Compañía de Minas Buenaventura S.A.A.;13.81;1.099M;3.508B
ACHC;Acadia Healthcare Company, Inc.;39.7;1.759M;3.504B
PIFMF;PT Indofood Sukses Makmur Tbk;0.39;29106;3.492B
AAXN;Axon Enterprise, Inc.;59.72;652452;3.483B
BKU;BankUnited, Inc.;33.55;968441;3.482B
CIM;Chimera Investment Corporation;18.6001;1.17M;3.478B
SRC;Spirit Realty Capital, Inc.;8.11;4.623M;3.478B
ESL;Esterline Technologies Corporation;117.62;392940;3.464B
MD;MEDNAX, Inc.;39.11;805621;3.451B
ISBC;Investors Bancorp, Inc.;12.26;2.016M;3.435B
