Ticker;OrderId0;OrderId1;BuySell;EntryDate;EntryPrice;ExitDate;ExitPrice;Pnl;Qty;MAE;MFE
aapl;aapl_-5958560290176504300_1546713852295;aapl_-5958560290176504300_1546713852296;-1;22.12.2008 21:38:00;85.895;22.12.2008 21:39:00;85.905;-0.01;1;0;0
goog;goog_-8595513625052144957_1546713852295;goog_-8595513625052144957_1546713852296;1;22.12.2008 21:38:00;297.155;22.12.2008 21:39:00;297.885;0.73;1;0;0
aapl;aapl_-5958560290176504300_1546713852297;aapl_-5958560290176504300_1546713852298;-1;03.04.2014 08:14:00;542.995;13.04.2014 00:01:00;519.055;23.94;1;0;0
goog;goog_-8595513625052144957_1546713852297;goog_-8595513625052144957_1546713852298;1;03.04.2014 08:14:00;570.005;13.04.2014 00:01:00;530.495;-39.51;1;0;0
