Ticker;OrderId;OrderType;BuySell;EntryDate;Price;Qty
aapl;aapl_-2777001098470196024_1546546986825;Market;-1;22.12.2008 21:38:00;0;1
goog;goog_3991333106220217921_1546546986826;Market;1;22.12.2008 21:38:00;0;1
aapl;aapl_-2777001098470196024_1546546986826;Market;1;22.12.2008 21:39:00;0;1
goog;goog_3991333106220217921_1546546986827;Market;-1;22.12.2008 21:39:00;0;1
aapl;aapl_-2777001098470196024_1546546986827;Market;-1;03.04.2014 08:14:00;0;1
goog;goog_3991333106220217921_1546546986828;Market;1;03.04.2014 08:14:00;0;1
aapl;aapl_-2777001098470196024_1546546986828;Market;1;13.04.2014 00:01:00;0;1
goog;goog_3991333106220217921_1546546986829;Market;-1;13.04.2014 00:01:00;0;1
