AFKS.ME 	0.05 	0.15 	0.12
ALRS.ME 	0.05 	0.19 	0.26
GAZP.ME 	0.06 	0.24 	0.39
HYDR.ME 	0.05 	0.19 	0.27
LKOH.ME 	0.06 	0.17 	0.19
MAGN.ME 	0.04 	0.11 	0.07
MGNT.ME 	0.04 	0.13 	0.13
MTSS.ME 	0.04 	0.15 	0.19
OGKB.ME 	0.05 	0.18 	0.16
QIWI.ME 	0.04 	0.07 	0.05
RASP.ME 	0.05 	0.24 	0.34
ROSN.ME 	0.06 	0.14 	0.01
RUAL.ME 	0.06 	0.25 	0.37
SBER.ME 	0.07 	0.17 	0.14
SIBN.ME 	0.05 	0.17 	0.22
SNGS.ME 	0.05 	0.18 	0.23
TATNP.ME 	0.05 	0.15 	0.13
TGKA.ME 	0.05 	0.20 	0.26
YNDX.ME 	0.05 	0.04 	-0.07
